Airline,Journey_month,Journey_year,Source,Destination,Route,Dep_Time,Arrival_Time,Duration_Hours,Duration_Minutes,Duration_In_Minutes,Total_Stops,Price_rupee,Log_price,Class,Additional_Info
Air Asia,4,2019,Banglore,Delhi,BLR → DEL,23:55,02:45,2.0,50.0,170.0,0.0,4483,8.40804774415544,Economy,No info
Jet Airways,3,2019,Kolkata,Banglore,CCU → BOM → BLR,19:45,12:00,16.0,15.0,975.0,1.0,14231,9.56317796268366,Business,No info
Air India,3,2019,Banglore,New Delhi,BLR → BOM → AMD → DEL,08:50,23:55,15.0,5.0,905.0,2.0,17345,9.76105955940385,Business,No info
Vistara,3,2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2.0,15.0,135.0,0.0,7414,8.911125383710678,Economy,No info
Multiple carriers,5,2019,Delhi,Cochin,DEL → BOM → COK,19:00,01:30,6.0,30.0,390.0,1.0,8073,8.996280439395015,Economy,No info
Vistara,3,2019,Mumbai,Hyderabad,BOM → DEL → HYD,15:40,16:45,25.0,5.0,1505.0,1.0,12395,9.42504844446929,Business,No info
Air India,6,2019,Kolkata,Banglore,CCU → BOM → BLR,09:25,21:50,12.0,25.0,745.0,1.0,8366,9.031931152002144,Economy,No info
Air India,4,2019,Delhi,Cochin,DEL → MAA → COK,06:05,09:25,27.0,20.0,1640.0,1.0,5117,8.540323608805092,Economy,No info
Multiple carriers,6,2019,Delhi,Cochin,DEL → BOM → COK,08:45,19:00,10.0,15.0,615.0,1.0,12524,9.435402082446297,Business,No info
IndiGo,5,2019,Delhi,Cochin,DEL → BOM → COK,15:00,01:30,10.0,30.0,630.0,1.0,7191,8.880585523102495,Economy,No info
Vistara,5,2019,Chennai,Kolkata,MAA → CCU,07:05,09:20,2.0,15.0,135.0,0.0,3687,8.212568398234145,Economy,No info
IndiGo,6,2019,Delhi,Cochin,DEL → BOM → COK,10:35,21:00,10.0,25.0,625.0,1.0,5894,8.68169016329764,Economy,No info
Vistara,4,2019,Banglore,Delhi,BLR → DEL,09:45,12:35,2.0,50.0,170.0,0.0,5403,8.594709633844065,Economy,No info
Air India,5,2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1.0,30.0,90.0,0.0,3625,8.195609567288775,Economy,No info
Air India,5,2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13.0,20.0,800.0,2.0,10861,9.292933670280036,Economy,No info
IndiGo,3,2019,Chennai,Kolkata,MAA → CCU,13:20,15:35,2.0,15.0,135.0,0.0,6297,8.747828608488742,Economy,No info
Jet Airways,6,2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1.0,25.0,85.0,0.0,5678,8.644354337032917,Economy,No info
Jet Airways,3,2019,Banglore,New Delhi,BLR → BOM → DEL,05:45,08:15,26.0,30.0,1590.0,1.0,9134,9.119758993744945,Economy,In-flight meal not included
Multiple carriers,6,2019,Delhi,Cochin,DEL → BOM → COK,11:40,19:00,7.0,20.0,440.0,1.0,10791,9.286467732363734,Economy,In-flight meal not included
Jet Airways,6,2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,12:35,13.0,30.0,810.0,2.0,12819,9.458683724312134,Business,No info
IndiGo,3,2019,Delhi,Cochin,DEL → BLR → COK,05:05,10:05,5.0,0.0,300.0,1.0,6893,8.838261682885651,Economy,No info
Vistara,3,2019,Banglore,New Delhi,BLR → DEL,09:50,12:35,2.0,45.0,165.0,0.0,7240,8.887376485379763,Economy,No info
GoAir,4,2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2.0,50.0,170.0,0.0,3898,8.268218880067506,Economy,No info
IndiGo,4,2019,Mumbai,Hyderabad,BOM → HYD,06:25,07:55,1.0,30.0,90.0,0.0,4049,8.30622521603216,Economy,No info
Jet Airways,6,2019,Delhi,Cochin,DEL → BOM → COK,17:30,12:35,19.0,5.0,1145.0,1.0,10262,9.23620303150191,Economy,In-flight meal not included
SpiceJet,3,2019,Chennai,Kolkata,MAA → CCU,08:20,10:35,2.0,15.0,135.0,0.0,3332,8.111328003286733,Economy,No check-in baggage included
Jet Airways,6,2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,12:00,14.0,50.0,890.0,1.0,10844,9.291367210618557,Economy,In-flight meal not included
Jet Airways,3,2019,Banglore,New Delhi,BLR → DEL,19:55,22:35,2.0,40.0,160.0,0.0,7229,8.885855993000296,Economy,No info
Jet Airways,5,2019,Kolkata,Banglore,CCU → BOM → BLR,06:30,04:40,22.0,10.0,1330.0,1.0,13941,9.542589417753089,Business,No info
IndiGo,6,2019,Delhi,Cochin,DEL → BOM → COK,11:25,21:00,9.0,35.0,575.0,1.0,5894,8.68169016329764,Economy,No info
Multiple carriers,5,2019,Delhi,Cochin,DEL → BOM → COK,09:00,19:00,10.0,0.0,600.0,1.0,10197,9.229848838364227,Economy,No info
Jet Airways,3,2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,11:25,21.0,20.0,1280.0,1.0,13712,9.52602664083756,Business,In-flight meal not included
IndiGo,6,2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5.0,25.0,325.0,1.0,5636,8.636929873018572,Economy,No info
Jet Airways,6,2019,Delhi,Cochin,DEL → JAI → BOM → COK,09:40,04:25,18.0,45.0,1125.0,2.0,13014,9.47378098005493,Business,No info
Jet Airways,4,2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12.0,20.0,740.0,1.0,7064,8.862766742283796,Economy,In-flight meal not included
Jet Airways,5,2019,Kolkata,Banglore,CCU → DEL → BLR,20:25,14:25,18.0,0.0,1080.0,1.0,10703,9.278279354984376,Economy,In-flight meal not included
Multiple carriers,5,2019,Delhi,Cochin,DEL → HYD → COK,13:15,22:30,9.0,15.0,555.0,1.0,9646,9.174298600628918,Economy,No info
Multiple carriers,3,2019,Delhi,Cochin,DEL → BOM → COK,02:15,13:20,11.0,5.0,665.0,1.0,17057,9.744315955640873,Business,No info
Jet Airways,3,2019,Banglore,New Delhi,BLR → BOM → DEL,16:55,10:25,17.0,30.0,1050.0,1.0,13817,9.53365499705667,Business,No info
Air India,3,2019,Delhi,Cochin,DEL → BHO → BOM → COK,05:55,19:15,13.0,20.0,800.0,2.0,13748,9.528648637969724,Business,No info
Air India,4,2019,Kolkata,Banglore,CCU → BLR,20:45,23:20,2.0,35.0,155.0,0.0,4880,8.492900498847193,Economy,No info
IndiGo,6,2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2.0,25.0,145.0,0.0,3540,8.17188200612782,Economy,No info
SpiceJet,5,2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2.0,40.0,160.0,0.0,3257,8.088561805276234,Economy,No check-in baggage included
Jet Airways,6,2019,Banglore,Delhi,BLR → DEL,19:50,22:50,3.0,0.0,180.0,0.0,6478,8.776167099731275,Economy,In-flight meal not included
Jet Airways,6,2019,Mumbai,Hyderabad,BOM → HYD,07:05,08:30,1.0,25.0,85.0,0.0,8040,8.992184362173012,Economy,No info
Jet Airways,6,2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35,16.0,35.0,995.0,2.0,14300,9.568014816247999,Business,No info
Jet Airways,5,2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12.0,20.0,740.0,1.0,14781,9.601097851212073,Business,No info
Jet Airways,6,2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15,12.0,15.0,735.0,1.0,14939,9.611730522042317,Business,No info
Jet Airways,6,2019,Delhi,Cochin,DEL → BOM → COK,20:55,04:25,7.0,30.0,450.0,1.0,10262,9.23620303150191,Economy,In-flight meal not included
Air India,5,2019,Kolkata,Banglore,CCU → MAA → BLR,14:35,14:35,24.0,0.0,1440.0,1.0,6528,8.783855896643942,Economy,No info
Air India,5,2019,Banglore,Delhi,BLR → DEL,06:10,08:55,2.0,45.0,165.0,0.0,6121,8.71948076085107,Economy,No info
Jet Airways,5,2019,Delhi,Cochin,DEL → JAI → BOM → COK,19:30,04:25,8.0,55.0,535.0,2.0,13029,9.474932921202932,Business,In-flight meal not included
Multiple carriers,3,2019,Delhi,Cochin,DEL → BOM → COK,11:40,18:50,7.0,10.0,430.0,1.0,11421,9.343209045050607,Economy,No info
Multiple carriers,3,2019,Delhi,Cochin,DEL → BOM → COK,04:45,19:15,14.0,30.0,870.0,1.0,7574,8.93247660846174,Economy,No info
Air India,5,2019,Delhi,Cochin,DEL → JDH → BOM → COK,12:55,19:15,30.0,20.0,1820.0,2.0,11596,9.358415490041546,Economy,No info
Jet Airways,5,2019,Delhi,Cochin,DEL → AMD → BOM → COK,23:05,19:00,19.0,55.0,1195.0,2.0,15129,9.624368710744834,Business,No info
Jet Airways,3,2019,Banglore,New Delhi,BLR → BOM → DEL,14:05,05:05,15.0,0.0,900.0,1.0,13555,9.514510761932765,Business,No info
IndiGo,4,2019,Banglore,Delhi,BLR → DEL,18:55,21:50,2.0,55.0,175.0,0.0,5780,8.662158961666423,Economy,No info
Vistara,5,2019,Kolkata,Banglore,CCU → DEL → BLR,20:20,09:05,12.0,45.0,765.0,1.0,9397,9.148145768383065,Economy,No info
Jet Airways,3,2019,Delhi,Cochin,DEL → BOM → COK,18:15,04:25,10.0,10.0,610.0,1.0,17024,9.742379392141371,Business,No info
GoAir,6,2019,Delhi,Cochin,DEL → BOM → COK,07:00,12:55,5.0,55.0,355.0,1.0,5281,8.571870752706934,Economy,No info
Multiple carriers,5,2019,Delhi,Cochin,DEL → HYD → COK,07:05,22:30,15.0,25.0,925.0,1.0,10348,9.24454854330592,Economy,No info
Air India,3,2019,Delhi,Cochin,DEL → MAA → COK,17:20,09:25,16.0,5.0,965.0,1.0,12677,9.447544606938727,Business,No info
Multiple carriers,3,2019,Delhi,Cochin,DEL → BOM → COK,15:25,01:35,10.0,10.0,610.0,1.0,15147,9.625557771527026,Business,No info
Vistara,6,2019,Banglore,Delhi,BLR → DEL,07:00,09:40,2.0,40.0,160.0,0.0,4668,8.448485993406447,Economy,No info
Jet Airways,5,2019,Delhi,Cochin,DEL → BOM → COK,07:05,19:00,11.0,55.0,715.0,1.0,15554,9.652073119254888,Business,No info
SpiceJet,4,2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2.0,40.0,160.0,0.0,3971,8.286773231131251,Economy,No info
Air India,5,2019,Mumbai,Hyderabad,BOM → HYD,15:00,16:25,1.0,25.0,85.0,0.0,3100,8.039157390473237,Economy,No info
Jet Airways,5,2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,10:05,14.0,5.0,845.0,1.0,9663,9.176059437999308,Economy,In-flight meal not included
Air India,3,2019,Delhi,Cochin,DEL → BOM → COK,23:00,19:15,20.0,15.0,1215.0,1.0,27430,10.219392583931649,Business,No info
IndiGo,5,2019,Chennai,Kolkata,MAA → CCU,05:15,07:40,2.0,25.0,145.0,0.0,3540,8.17188200612782,Economy,No info
Air India,5,2019,Kolkata,Banglore,CCU → BBI → BOM → BLR,12:00,11:10,23.0,10.0,1390.0,2.0,10676,9.275753510524416,Economy,No info
Jet Airways,6,2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,08:15,18.0,10.0,1090.0,1.0,13044,9.47608353690921,Business,No info
Jet Airways,5,2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,12:00,16.0,0.0,960.0,1.0,14388,9.574149804815514,Business,No info
IndiGo,6,2019,Banglore,Delhi,BLR → DEL,04:00,06:50,2.0,50.0,170.0,0.0,3943,8.279697133877628,Economy,No info
IndiGo,6,2019,Chennai,Kolkata,MAA → CCU,14:45,17:05,2.0,20.0,140.0,0.0,3597,8.187855443695623,Economy,No info
Air India,3,2019,Banglore,New Delhi,BLR → MAA → DEL,11:50,19:50,8.0,0.0,480.0,1.0,5932,8.688116703257823,Economy,No info
Jet Airways,6,2019,Delhi,Cochin,DEL → BOM → COK,11:30,04:25,16.0,55.0,1015.0,1.0,10262,9.23620303150191,Economy,In-flight meal not included
Vistara,5,2019,Delhi,Cochin,DEL → COK,14:40,17:50,3.0,10.0,190.0,0.0,6216,8.734881892047483,Economy,No info
IndiGo,6,2019,Kolkata,Banglore,CCU → BLR,20:25,23:10,2.0,45.0,165.0,0.0,4804,8.477204183199873,Economy,No info
Multiple carriers,5,2019,Delhi,Cochin,DEL → BOM → COK,11:30,01:30,14.0,0.0,840.0,1.0,14067,9.551586907757695,Business,No info
Jet Airways,5,2019,Delhi,Cochin,DEL → AMD → BOM → COK,19:10,19:00,23.0,50.0,1430.0,2.0,15129,9.624368710744834,Business,No info
Jet Airways,6,2019,Delhi,Cochin,DEL → NAG → BOM → COK,06:45,04:25,21.0,40.0,1300.0,2.0,13376,9.501217335324483,Business,No info
Air India,6,2019,Delhi,Cochin,DEL → GOI → BOM → COK,22:00,19:15,21.0,15.0,1275.0,2.0,10441,9.25349564229011,Economy,No info
Jet Airways,5,2019,Banglore,Delhi,BLR → DEL,06:00,08:45,2.0,45.0,165.0,0.0,4030,8.301521654940728,Economy,In-flight meal not included
Jet Airways,3,2019,Delhi,Cochin,DEL → BOM → COK,08:00,18:50,10.0,50.0,650.0,1.0,17024,9.742379392141371,Business,No info
Multiple carriers,4,2019,Delhi,Cochin,DEL → BOM → COK,17:30,01:30,8.0,0.0,480.0,1.0,13017,9.47401147446646,Business,No info
GoAir,6,2019,Kolkata,Banglore,CCU → BOM → BLR,23:30,07:45,8.0,15.0,495.0,1.0,6686,8.807771066980044,Economy,No info
IndiGo,6,2019,Delhi,Cochin,DEL → MAA → COK,02:00,07:25,5.0,25.0,325.0,1.0,5636,8.636929873018572,Economy,No info
IndiGo,6,2019,Delhi,Cochin,DEL → HYD → COK,07:35,16:10,8.0,35.0,515.0,1.0,6442,8.770594329891145,Economy,No info
Multiple carriers,5,2019,Delhi,Cochin,DEL → HYD → COK,13:05,00:55,11.0,50.0,710.0,1.0,9486,9.157572306437528,Economy,No info
Jet Airways,5,2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,23:35,27.0,35.0,1655.0,1.0,10844,9.291367210618557,Economy,In-flight meal not included
Jet Airways,6,2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,04:25,8.0,25.0,505.0,2.0,15318,9.636783886469539,Business,In-flight meal not included
Air India,4,2019,Delhi,Cochin,DEL → MAA → COK,12:30,09:25,20.0,55.0,1255.0,1.0,5117,8.540323608805092,Economy,No info
IndiGo,6,2019,Delhi,Cochin,DEL → BLR → COK,15:10,20:00,4.0,50.0,290.0,1.0,6147,8.72371943690701,Economy,No info
Multiple carriers,6,2019,Delhi,Cochin,DEL → BOM → COK,12:50,21:00,8.0,10.0,490.0,1.0,7005,8.854379458771108,Economy,No info
SpiceJet,4,2019,Kolkata,Banglore,CCU → BLR,22:20,00:40,2.0,20.0,140.0,0.0,3873,8.261784679514752,Economy,No info
Jet Airways,3,2019,Delhi,Cochin,DEL → BDQ → BOM → COK,18:25,18:50,24.0,25.0,1465.0,2.0,9270,9.1345386585599,Economy,In-flight meal not included
GoAir,6,2019,Banglore,Delhi,BLR → DEL,11:40,14:30,2.0,50.0,170.0,0.0,3898,8.268218880067506,Economy,No info
Jet Airways,5,2019,Kolkata,Banglore,CCU → BOM → BLR,08:25,20:45,12.0,20.0,740.0,1.0,14781,9.601097851212073,Business,No info
Jet Airways,5,2019,Kolkata,Banglore,CCU → BOM → BLR,20:00,08:15,12.0,15.0,735.0,1.0,8586,9.057888248784506,Economy,In-flight meal not included
Air India,5,2019,Kolkata,Banglore,CCU → JAI → BOM → BLR,08:20,07:55,23.0,35.0,1415.0,2.0,10697,9.27771860730613,Economy,No info
Jet Airways,6,2019,Delhi,Cochin,DEL → ATQ → BOM → COK,20:00,12:35,16.0,35.0,995.0,2.0,14300,9.568014816247999,Business,No info
IndiGo,3,2019,Banglore,New Delhi,BLR → DEL,18:55,21:45,2.0,50.0,170.0,0.0,8855,9.088737550216933,Economy,No info
Jet Airways,5,2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,18:15,25.0,45.0,1545.0,1.0,10844,9.291367210618557,Economy,In-flight meal not included
Jet Airways,3,2019,Delhi,Cochin,DEL → BOM → COK,02:15,04:25,26.0,10.0,1570.0,1.0,17024,9.742379392141371,Business,No info
Jet Airways,5,2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,14:25,28.0,50.0,1730.0,1.0,9314,9.139273923542323,Economy,In-flight meal not included
IndiGo,3,2019,Banglore,New Delhi,BLR → DEL,00:40,03:25,2.0,45.0,165.0,0.0,4777,8.471568013389962,Economy,No info
Air India,6,2019,Kolkata,Banglore,CCU → BBI → BLR,12:00,13:15,25.0,15.0,1515.0,1.0,7662,8.944028325260595,Economy,No info
IndiGo,5,2019,Delhi,Cochin,DEL → HYD → COK,06:50,16:10,9.0,20.0,560.0,1.0,6442,8.770594329891145,Economy,No info
SpiceJet,6,2019,Delhi,Cochin,DEL → PNQ → COK,08:45,13:15,4.0,30.0,270.0,1.0,5264,8.568646473005153,Economy,No info
Jet Airways,5,2019,Delhi,Cochin,DEL → BOM → COK,13:00,04:25,15.0,25.0,925.0,1.0,12898,9.464827539570322,Business,In-flight meal not included
Air India,3,2019,Mumbai,Hyderabad,BOM → HYD,13:55,15:25,1.0,30.0,90.0,0.0,6092,8.714731714015052,Economy,No info
SpiceJet,5,2019,Banglore,Delhi,BLR → DEL,05:55,08:35,2.0,40.0,160.0,0.0,3311,8.105005537547246,Economy,No info
Jet Airways,3,2019,Delhi,Cochin,DEL → BOM → COK,19:15,04:25,9.0,10.0,550.0,1.0,6540,8.785692444451245,Economy,In-flight meal not included
IndiGo,5,2019,Banglore,Delhi,BLR → DEL,01:30,04:15,2.0,45.0,165.0,0.0,3419,8.137103389639302,Economy,No info
Jet Airways,4,2019,Delhi,Cochin,DEL → BOM → COK,14:00,12:35,22.0,35.0,1355.0,1.0,5177,8.551981016901902,Economy,In-flight meal not included
Air India,4,2019,Delhi,Cochin,DEL → COK,18:05,21:10,3.0,5.0,185.0,0.0,8246,9.017483513266844,Economy,No info
Jet Airways,6,2019,Kolkata,Banglore,CCU → DEL → BLR,09:35,21:05,11.0,30.0,690.0,1.0,14676,9.593968785475173,Business,No info
Multiple carriers,6,2019,Delhi,Cochin,DEL → BOM → COK,11:30,21:00,9.0,30.0,570.0,1.0,13587,9.516868732224324,Business,No info
Jet Airways,5,2019,Kolkata,Banglore,CCU → BOM → BLR,21:10,09:20,12.0,10.0,730.0,1.0,9663,9.176059437999308,Economy,In-flight meal not included
Jet Airways,6,2019,Kolkata,Banglore,CCU → BOM → BLR,16:30,10:05,17.0,35.0,1055.0,1.0,13044,9.47608353690921,Business,No info
IndiGo,4,2019,Delhi,Cochin,DEL → BOM → COK,20:25,01:30,5.0,5.0,305.0,1.0,5073,8.53168763756669,Economy,No info
Vistara,5,2019,Kolkata,Banglore,CCU → DEL → BLR,17:00,18:50,25.0,50.0,1550.0,1.0,9345,9.142596719889664,Economy,No info
Jet Airways,5,2019,Kolkata,Banglore,CCU → BOM → BLR,14:05,10:05,20.0,0.0,1200.0,1.0,9663,9.176059437999308,Economy,In-flight meal not included
Multiple carriers,5,2019,Delhi,Cochin,DEL → BOM → COK,08:00,21:00,13.0,0.0,780.0,1.0,14277,9.56640512978922,Business,No info
Jet Airways,6,2019,Delhi,Cochin,DEL → BOM → COK,10:00,04:25,18.0,25.0,1105.0,1.0,10262,9.23620303150191,Economy,In-flight meal not included
